INFO 2024-11-04 20:22:24,273 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-04 20:22:24,273 autoreload Waiting for apps ready_event.
DEBUG 2024-11-04 20:22:25,894 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-04 20:22:25,899 autoreload Watching dir C:\Users\kei\dev\aco\routing-env\routingSystem\routing\templates with glob **/*.
DEBUG 2024-11-04 20:22:25,899 autoreload Watching dir C:\Users\kei\dev\aco\routing-env\routingSystem\templates with glob **/*.
DEBUG 2024-11-04 20:22:25,905 autoreload Watching dir C:\Users\kei\dev\aco\routing-env\routingSystem\locale with glob **/*.mo.
DEBUG 2024-11-04 20:22:25,906 autoreload Watching dir C:\Users\kei\dev\aco\routing-env\routingSystem\routing\locale with glob **/*.mo.
DEBUG 2024-11-04 20:22:25,906 autoreload Watching dir C:\Users\kei\dev\aco\routing-env\routingSystem\routingSystem\locale with glob **/*.mo.
DEBUG 2024-11-04 20:22:26,164 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\pandas\io\pickle.py first seen with mtime 1729673641.55485
DEBUG 2024-11-04 20:22:26,164 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\scipy\ndimage\_morphology.py first seen with mtime 1729673600.824844
DEBUG 2024-11-04 20:22:26,164 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\sklearn\neighbors\_nca.py first seen with mtime 1729673627.759186
DEBUG 2024-11-04 20:22:26,164 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\pandas\core\base.py first seen with mtime 1729673641.4758506
DEBUG 2024-11-04 20:22:26,164 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\sklearn\_config.py first seen with mtime 1729673627.4896667
DEBUG 2024-11-04 20:22:26,164 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\scipy\special\_ellip_harm.py first seen with mtime 1729673601.1458447
DEBUG 2024-11-04 20:22:26,164 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\joblib\func_inspect.py first seen with mtime 1729673584.2693057
DEBUG 2024-11-04 20:22:26,164 autoreload File C:\Users\kei\AppData\Local\Programs\Python\Python311\Lib\collections\__init__.py first seen with mtime 1701687718.0
DEBUG 2024-11-04 20:22:26,164 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\folium\_version.py first seen with mtime 1729673669.0954447
DEBUG 2024-11-04 20:22:26,164 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\geopandas\tools\clip.py first seen with mtime 1729673670.65906
DEBUG 2024-11-04 20:22:26,164 autoreload File C:\Users\kei\AppData\Local\Programs\Python\Python311\Lib\asyncio\events.py first seen with mtime 1701687718.0
DEBUG 2024-11-04 20:22:26,164 autoreload File C:\Users\kei\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py first seen with mtime 1701687718.0
DEBUG 2024-11-04 20:22:26,164 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\sklearn\utils\fixes.py first seen with mtime 1729673627.8371856
DEBUG 2024-11-04 20:22:26,164 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\urllib3\util\ssl_match_hostname.py first seen with mtime 1729673539.1484823
DEBUG 2024-11-04 20:22:26,164 autoreload File C:\Users\kei\AppData\Local\Programs\Python\Python311\Lib\email\quoprimime.py first seen with mtime 1701687718.0
DEBUG 2024-11-04 20:22:26,164 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\matplotlib\_tight_layout.py first seen with mtime 1729673659.2509108
DEBUG 2024-11-04 20:22:26,164 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\django\core\files\utils.py first seen with mtime 1729673620.2877183
DEBUG 2024-11-04 20:22:26,180 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\networkx\algorithms\bipartite\projection.py first seen with mtime 1729673575.6404748
DEBUG 2024-11-04 20:22:26,180 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\matplotlib\font_manager.py first seen with mtime 1729673659.2019143
DEBUG 2024-11-04 20:22:26,180 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\idna\package_data.py first seen with mtime 1729673585.2179174
DEBUG 2024-11-04 20:22:26,181 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\pyproj\crs\coordinate_system.py first seen with mtime 1729673615.1660068
DEBUG 2024-11-04 20:22:26,181 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\jinja2\idtracking.py first seen with mtime 1729673616.115624
DEBUG 2024-11-04 20:22:26,181 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\scipy\_lib\doccer.py first seen with mtime 1729673601.3338437
