node,lat,lon,name,tags
278927249,35.677544,139.554901,"幸楽苑調布深大寺店, 幸楽苑調布深大寺店","['ラーメン', '飲食店', 'ラーメン', '飲食店']"
278928328,35.66242,139.52167,セブンイレブン調布飛田給１丁目店,"['セブンイレブン', 'コンビニ', 'ATM']"
286839219,35.65871,139.53132,セブンイレブン調布インター南店,"['セブンイレブン', 'コンビニ', 'ATM']"
286839406,35.65253,139.55668,セブンイレブン調布国領１丁目店,"['セブンイレブン', 'コンビニ', 'ATM']"
287448107,35.647976,139.545685,"いしもり, いしもり","['そば', 'うどん', '飲食店', 'そば', 'うどん', '飲食店']"
287448108,35.647556,139.547409,"イルキャンティ調布店, イルキャンティ調布店, 焼肉きんぐ調布店, 焼肉きんぐ調布店","['ピザ', 'イタリアン', '居酒屋', '飲食店', 'ピザ', 'イタリアン', '居酒屋', '飲食店', '焼肉', '飲食店', '焼肉', '飲食店']"
287791766,35.64819,139.565018,"すき家イトーヨーカドー国領店, すき家イトーヨーカドー国領店, はなまるうどんイトーヨーカドー国領店, はなまるうどんイトーヨーカドー国領店, サンブーランジュリ国領店, サンブーランジュリ国領店, サーティワンアイスクリーム国領イトーヨーカドー店, サーティワンアイスクリーム国領イトーヨーカドー店, マクドナルド国領イトーヨーカドー店, マクドナルド国領イトーヨーカドー店, リンガーハットイトーヨーカドー国領店, リンガーハットイトーヨーカドー国領店, 築地銀だこイトーヨーカドー国領店, 築地銀だこイトーヨーカドー国領店, 銀座コージーコーナーイトーヨーカドー国領店, 銀座コージーコーナーイトーヨーカドー国領店","['牛丼', 'カレー', '食堂', '飲食店', '牛丼', 'カレー', '食堂', '飲食店', 'うどん', '飲食店', 'うどん', '飲食店', 'パン', '飲食店', 'パン', '飲食店', 'ジェラート・アイスクリーム', 'クレープ・ガレット', '飲食店', 'ジェラート・アイスクリーム', 'クレープ・ガレット', '飲食店', 'ハンバーガー', '飲食店', 'ハンバーガー', '飲食店', '中華料理', '飲食店', '中華料理', '飲食店', 'たこ焼き', '飲食店', 'たこ焼き', '飲食店', 'ケーキ', '飲食店', 'ケーキ', '飲食店']"
287792156,35.650097,139.560684,"甲州屋, 甲州屋","['レストラン', '飲食店', 'レストラン', '飲食店']"
287792182,35.650246,139.559708,"CRAZYPIZZA, CRAZYPIZZA, イタリアンダイニングバニアンツリー（ItalianDiningBanyanTree）, イタリアンダイニングバニアンツリー（ItalianDiningBanyanTree）, ドンブラボー（DonBravo）, ドンブラボー（DonBravo）","['ピザ', 'イタリアン', 'バー', '飲食店', 'ピザ', 'イタリアン', 'バー', '飲食店', 'イタリアン', 'パスタ', 'ダイニングバー', '飲食店', 'イタリアン', 'パスタ', 'ダイニングバー', '飲食店', 'イタリアン', 'ピザ', '飲食店', 'イタリアン', 'ピザ', '飲食店']"
287795467,35.64753,139.559418,"ラ・ファリーナ, ラ・ファリーナ, 麺飯坊　無双, 麺飯坊　無双","['イタリアン', '創作料理', '飲食店', 'イタリアン', '創作料理', '飲食店', '中華料理', '担々麺', '飲食店', '中華料理', '担々麺', '飲食店']"
