name,lat,lon,hp,tags
伝説のすた丼屋調布店,35.653538,139.544357,http://sutadonya.com/,"['豚丼', '食堂', '中華料理', '飲食店']"
らーめんHAGGY（ハギー）,35.654694,139.567017,-,"['つけ麺', 'ラーメン', '飲食店']"
スターバックス・コーヒー仙川駅前店,35.660618,139.586182,http://www.starbucks.co.jp,"['カフェ', '飲食店']"
ゴンチャ調布パルコ店（Gongcha）,35.652805,139.543518,https://www.gongcha.co.jp/,"['ティースタンド', 'スイーツ', '飲食店']"
カリふぉるにあ（咖喱ふぉるにあ）,35.655643,139.567459,-,"['インドカレー', 'カレー', '飲食店']"
スイーツモード仙川店（SweetsMode）,35.661739,139.584991,http://www.keio-ekichika.com/frente/sengawa/shoplist.html#shop03,"['スイーツ', '飲食店']"
鶏十兵衛調布店,35.652164,139.544556,-,"['居酒屋', '焼き鳥', 'もつ鍋', '飲食店']"
ミスタードーナツ仙川ショップ,35.660046,139.584824,http://www.misterdonut.jp/,"['ドーナツ', '飲茶・点心', 'パン', '飲食店']"
ちとせやCafe調布店,35.652725,139.544434,http://www.chitoseya-cafe.com/,"['カフェ', '飲食店']"
バーミヤン調布つつじヶ丘店,35.655529,139.575607,http://www.skylark.co.jp/bamiyan/,"['ファミレス', '中華料理', '飲食店']"
洋食亭アゼリア,35.657188,139.576843,-,"['イタリアン', 'フレンチ', '洋食', '飲食店']"
GREENTHUMB調布店（グリーンサム）,35.651062,139.545425,https://greenthumb.tokyo/,"['パン', 'スイーツ', '飲食店']"
ラーメン悔いなし,35.65189,139.566162,-,"['ラーメン', '油そば・まぜそば', '飲食店']"
スターバックスコーヒートリエ京王調布店,35.651062,139.545425,https://www.starbucks.co.jp/,"['カフェ', '飲食店']"
スイスレストランセントバーナード仙川店,35.660507,139.585083,https://saintbernard.tokyo/,"['ヨーロッパ料理', '飲食店']"
27-TUNA-（ツナツナ）,35.662521,139.547806,-,"['寿司', '海鮮丼', '飲食店']"
タイペイズナインティワンギンザ（TaiPeiS91GINZA）,35.653275,139.542114,-,"['創作料理', '居酒屋', '飲食店']"
串カツ田中調布店,35.653275,139.542114,https://www.5ive-group.jp/brand/kushikatsutanaka/,"['居酒屋', '串揚げ', '飲食店']"
ケニーズ（KENNY’s）,35.652855,139.546097,http://chofu.com/kennys/,"['パブ', 'ビアバー', '飲食店']"
そらまめらぁめん本舗（ソラマメラーメンホンポ）,35.652443,139.54509,-,"['ラーメン', '丼', '担々麺', '飲食店']"
かばん家(ち)（【旧店名】かばのパン）,35.662521,139.547806,-,"['パン', 'サンドイッチ', '飲食店']"
フレッシュネスバーガー仙川店,35.660942,139.585617,http://www.freshnessburger.co.jp/shop/detail.html?id=91,"['ハンバーガー', '喫茶店', 'カフェ', '飲食店']"
あみやき亭調布店,35.651512,139.536545,http://www.suehiro-net.com/amiyaki-kantou/index.html,"['焼肉', 'ホルモン', '居酒屋', '飲食店']"
海鮮Bar楠（カイセンバークスノキ）,35.653782,139.547256,-,"['海鮮', '寿司', 'おでん', '飲食店']"
カリーナキッチン,35.655136,139.528259,-,"['インドカレー', '飲食店']"
竹とんぼ,35.655643,139.567459,-,"['お好み焼き', '飲食店']"
猿田彦珈琲アトリエ仙川,35.660942,139.585617,http://sarutahiko.co/,"['カフェ', '飲食店']"
台湾and中華食堂だいちゃん,35.649532,139.557465,-,"['台湾料理', '中華料理', '飲食店']"
