osmid,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,name,access
483377737,footway,False,True,111.005,"LINESTRING (35.6532777 139.5440663, 35.6542596 139.544288)",,,,,
483377737,footway,False,True,21.857,"LINESTRING (35.6551351 139.5444357, 35.6551618 139.5443967, 35.6552144 139.5442171)",,,,,
483377737,footway,False,True,7.825,"LINESTRING (35.6550693 139.5444664, 35.6551351 139.5444357)",,,,,
680867292,service,False,True,8.75,"LINESTRING (35.6554351 139.5436686, 35.6555109 139.5436946)",,,,,
34402808,unclassified,False,True,8.763,"LINESTRING (35.651482 139.5466398, 35.6514962 139.5465444)",20,,,,
249723865,tertiary,False,True,46.232,"LINESTRING (35.6526428 139.5440008, 35.6529625 139.5440684, 35.6530526 139.5440872)",,,,,
483377737,footway,False,True,91.466,"LINESTRING (35.6542596 139.544288, 35.6550693 139.5444664)",,,,,
738499273,unclassified,False,True,2.744,"LINESTRING (35.6521191 139.5442701, 35.6521421 139.5442811)",,,,,
34402808,unclassified,False,True,9.743,"LINESTRING (35.6517691 139.5454176, 35.6517953 139.5453147)",20,,,,
"[738499273, 720754579]",unclassified,False,True,32.967999999999996,"LINESTRING (35.6522121 139.5443056, 35.6522829 139.5443016, 35.6523397 139.5442607, 35.6524285 139.5440972)",,,,,
34402808,unclassified,False,True,29.229,"LINESTRING (35.6516976 139.5457289, 35.6517691 139.5454176)",20,,,,
34402858,residential,False,True,7.253,"LINESTRING (35.6552144 139.5442171, 35.655275 139.5442468)",,,,,
51409837,unclassified,False,False,52.105999999999995,"LINESTRING (35.6513006 139.5458996, 35.6513083 139.5459909, 35.6513077 139.5460582, 35.6512461 139.5463351, 35.6512089 139.5464573)",,,,,
136135398,residential,False,True,6.631,"LINESTRING (35.6512851 139.5466618, 35.6513063 139.5465932)",20,,,,
136135398,residential,False,False,75.82,"LINESTRING (35.6512851 139.5466618, 35.6512427 139.5468019, 35.6511523 139.5474825)",20,,,,
34402808,unclassified,False,True,28.14,"LINESTRING (35.651627 139.5460277, 35.6516519 139.5459433, 35.6516976 139.5457289)",20,,,,
51409837,unclassified,False,False,11.765,"LINESTRING (35.6512089 139.5464573, 35.6511717 139.5465792)",,,,,
694354123,footway,False,False,14.707,"LINESTRING (35.6511546 139.5466353, 35.6512851 139.5466618)",,,,,
51409837,unclassified,False,False,35.988,"LINESTRING (35.6515838 139.5449137, 35.6515488 139.5450318, 35.6514892 139.5451549, 35.6514568 139.5452779)",,,,,
51409837,unclassified,False,False,14.433,"LINESTRING (35.6516312 139.544765, 35.6515838 139.5449137)",,,,,
51409837,unclassified,False,False,36.053,"LINESTRING (35.6514568 139.5452779, 35.6514488 139.5453755, 35.651374 139.545662)",,,,,
694690495,footway,False,True,13.597999999999999,"LINESTRING (35.6531439 139.5441068, 35.6532426 139.5440476, 35.6532529 139.5440389)",,,,,
249723865,tertiary,False,True,10.305,"LINESTRING (35.6530526 139.5440872, 35.6531439 139.5441068)",,,,,
269803298,trunk,False,False,55.191,"LINESTRING (35.655275 139.5442468, 35.6554351 139.5436686)",50,4,20,甲州街道,yes
738499273,unclassified,False,True,8.092,"LINESTRING (35.6521421 139.5442811, 35.6522121 139.5443056)",,,,,
720754579,unclassified,False,True,25.884,"LINESTRING (35.6524285 139.5440972, 35.6524962 139.5440419, 35.6525677 139.54401, 35.6526428 139.5440008)",,,,,
34402808,unclassified,False,True,34.847,"LINESTRING (35.6514962 139.5465444, 35.6515905 139.5461766)",20,,,,
51409837,unclassified,False,False,22.967,"LINESTRING (35.651374 139.545662, 35.6513006 139.5458996)",,,,,
98409145,unclassified,False,False,19.986,"LINESTRING (35.6513063 139.5465932, 35.651482 139.5466398)",,,,,
136135398,residential,False,True,75.82,"LINESTRING (35.6511523 139.5474825, 35.6512427 139.5468019, 35.6512851 139.5466618)",20,,,,
34402808,unclassified,False,True,14.053,"LINESTRING (35.6515905 139.5461766, 35.651627 139.5460277)",20,,,,
34402808,unclassified,False,True,90.499,"LINESTRING (35.6517953 139.5453147, 35.6518531 139.5450984, 35.652009 139.5445852, 35.6520797 139.5443766)",20,,,,
34402808,unclassified,False,True,10.573,"LINESTRING (35.6520797 139.5443766, 35.6521191 139.5442701)",20,,,,
483377737,footway,False,True,3.706,"LINESTRING (35.6532529 139.5440389, 35.6532777 139.5440663)",,,,,
51409837,unclassified,False,False,5.414,"LINESTRING (35.6511717 139.5465792, 35.6511546 139.5466353)",,,,,
